Pot;Hauteur;Recouvrement;Mesure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;4.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;4;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;4;8;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;4;50;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;5;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;2.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;3;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;3.5;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;2;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;3.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;3;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;3;17;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;4;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;3.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;2.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;3;30;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;2;18;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;2;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;2;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;3;6;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;4;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;2;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;3;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;4;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;3;40;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;1.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;4.5;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;2;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;3.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;5;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;3;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;2;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;4;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;2;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;2;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;3;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;3.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;3;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;2;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;2;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;2;6;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;3;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;4;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;3.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;3;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;3.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;3;40;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;4;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;4;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;3.5;17;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;3;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;2.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
