Pot;Hauteur;Recouvrement;Mesure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
309;4;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;3;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
311;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;4;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315;4;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;3.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
318;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319;3;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
325;3.5;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;1.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
331;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
334;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
335;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
338;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
342;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
346;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
347;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
348;3.5;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
349;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
351;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
352;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
354;2;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;3.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
362;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363;3;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
364;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
366;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
367;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
368;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
369;3;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
371;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
373;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
374;2;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
375;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
376;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
377;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
378;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
379;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
380;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
383;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
385;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
386;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
387;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
388;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
390;2.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
391;2.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
392;4.5;40;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
394;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
395;3.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
396;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
397;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
398;3.5;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
399;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403;2.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
404;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405;4;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415;3;6;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
424;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
425;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
428;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
430;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
432;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
434;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
435;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
436;2.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
439;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
440;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
441;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
442;3;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
443;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
444;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
445;3.5;6;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
446;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
447;2.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
448;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
449;3.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
450;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
451;2.5;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
452;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
453;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
454;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
455;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
456;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
457;2;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
458;0.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
459;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
460;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
461;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
462;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
463;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
464;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
465;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
466;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
467;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
469;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
470;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
471;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
472;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
473;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
474;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
475;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
476;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
477;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478;3;8;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
480;4;35;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
481;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
482;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
483;4;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
484;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
485;2.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
486;5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
487;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
488;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
489;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
490;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
491;1.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
492;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
493;2;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
494;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
495;3.5;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
496;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
497;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
498;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
499;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
501;3;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
502;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
503;1;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
504;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
505;3.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
506;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
507;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
508;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
509;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
510;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
511;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
512;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
513;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
514;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
515;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
516;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
517;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
518;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
519;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
520;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
521;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;3.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
523;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
524;2.5;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
525;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
526;0.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
527;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
528;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530;2.5;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
531;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
532;2;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
533;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
534;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
536;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
537;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
538;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
539;4;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
542;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
543;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
544;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
545;3.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
547;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
548;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
549;4;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
550;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
551;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
552;4;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
553;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
556;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
557;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
558;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
559;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
560;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
561;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
562;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
563;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
564;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
566;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
567;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
568;3.5;30;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
569;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
570;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
571;0.5;0.5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
572;2;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
573;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
574;3.5;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
575;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
576;4;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
577;1.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
578;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
580;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
581;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
582;3.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
583;1.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
584;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
585;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
587;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
588;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
589;3;30;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
590;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
591;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
592;4;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
594;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
595;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
596;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
597;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
598;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
599;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
602;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
603;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
605;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
606;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
607;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
608;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
609;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
610;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
612;3;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
613;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
614;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
615;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
617;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
618;3;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
619;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
